new meter diffuser on input,,,,,,,,,,,
Oct 22 2021 14:35:00,Pump Off Samples,N=15,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99012.26563,99013.17969,99005.8125,98993.17969,13,-0.91,6.45,19.09,7.37,20,12.63
2,99012.21875,99013.25781,99006.10156,98993.1875,167,-1.04,6.12,19.03,7.16,20.07,12.91
3,99012.25781,99013.41406,99005.85156,98993.28125,207,-1.16,6.41,18.98,7.56,20.13,12.57
4,99012.40625,99013.27344,99005.98438,98993.28125,208,-0.87,6.42,19.12,7.29,19.99,12.7
5,99012.17188,99013.32813,99005.875,98993.29688,207,-1.16,6.3,18.87,7.45,20.03,12.58
6,99012.24219,99013.30469,99005.74219,98993.24219,207,-1.06,6.5,19,7.56,20.06,12.5
7,99012.29688,99013.26563,99005.53906,98992.97656,208,-0.97,6.76,19.32,7.73,20.29,12.56
8,99012.375,99013.39063,99005.96094,98993.10156,208,-1.02,6.41,19.27,7.43,20.29,12.86
9,99012.28125,99013.32031,99005.5625,98993.02344,207,-1.04,6.72,19.26,7.76,20.3,12.54
10,99012.02344,99013.3125,99005.57813,98992.96875,207,-1.29,6.45,19.05,7.73,20.34,12.61
11,99012.17969,99013.3125,99005.67969,98993.125,208,-1.13,6.5,19.05,7.63,20.19,12.55
12,99011.91406,99013.26563,99005.44531,98992.85938,207,-1.35,6.47,19.05,7.82,20.41,12.59
13,99011.92969,99013.14844,99005.44531,98992.84375,207,-1.22,6.48,19.09,7.7,20.3,12.6
14,99012.08594,99013.27344,99005.33594,98993.00781,208,-1.19,6.75,19.08,7.94,20.27,12.33
15,99011.98438,99013.03125,99005.40625,98992.74219,207,-1.05,6.58,19.24,7.62,20.29,12.66
Oct 22 2021 14:35:00,flow rate=0.66,N=30,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,99128.86719,99101.38281,99091.98438,98991.50781,13,27.48,36.88,137.36,9.4,109.87,100.48
2,99129.03125,99101.82031,99092.64063,98991.53906,149,27.21,36.39,137.49,9.18,110.28,101.1
3,99129.23438,99101.55469,99092.86719,98991.35938,207,27.68,36.37,137.87,8.69,110.2,101.51
4,99129.25781,99102.10938,99091.47656,98991.49219,208,27.15,37.78,137.77,10.63,110.62,99.98
5,99130.22656,99100.91406,99091.11719,98991.60938,207,29.31,39.11,138.62,9.8,109.3,99.51
6,99131,99102.6875,99092.83594,98991.4375,211,28.31,38.16,139.56,9.85,111.25,101.4
7,99130.32031,99101.96094,99092.61719,98991.53125,204,28.36,37.7,138.79,9.34,110.43,101.09
8,99129.5625,99101.73438,99091.84375,98991.39063,207,27.83,37.72,138.17,9.89,110.34,100.45
9,99131.86719,99102.39063,99093.69531,98991.39063,207,29.48,38.17,140.48,8.7,111,102.3
10,99129.49219,99103.55469,99093.39063,98991.26563,208,25.94,36.1,138.23,10.16,112.29,102.12
11,99132.17969,99103.38281,99093.14063,98991.63281,207,28.8,39.04,140.55,10.24,111.75,101.51
12,99131.40625,99102.11719,99092.57031,98991.47656,207,29.29,38.84,139.93,9.55,110.64,101.09
13,99130.44531,99101.99219,99092.04688,98991.53125,208,28.45,38.4,138.91,9.95,110.46,100.52
14,99129.80469,99101.75,99092.44531,98991.60156,207,28.05,37.36,138.2,9.3,110.15,100.84
15,99130.5,99102.4375,99092.60938,98991.67969,207,28.06,37.89,138.82,9.83,110.76,100.93
16,99130.53125,99101.53906,99092.3125,98991.61719,208,28.99,38.22,138.91,9.23,109.92,100.7
17,99131.08594,99103.25781,99094.30469,98991.74219,207,27.83,36.78,139.34,8.95,111.52,102.56
